Ratings,No_of_ratings,Screen_size(inches),Processor_speed(GHz),Cache_memory(MBs),RAM(Gig),RAM_max,Memory_slots,RAM_speed(MHz),Harddrive_capacity(Gig),Weight(kg),Warranty,Adapter(watts),Battery_cells,Screen_pixel_density(width),Screen_pixel_density(height),Processor_cores,Length(mm),Width(mm),Height(mm),USB(2.0)_ports,Bluetooth_version,USB(typeC)_ports,Operating_system,Display_type,Touchscreen,Optical_Drive,Battery_type,Fingerprint,Processor_brand,Graphics_brand,USB(2.0),Bluetooth_,USB(typeC),Keyboard_backlit,Harddrive_type,Brand
3.9799999999999995,554,15.6,1.1,4,4,12,1,2400,256,1.7,1.0,45,2,1366,768,2,362.2,253.4,19.9,1,5.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,no,SSD,Lenovo
4.340000000000001,346,14.0,1.6,6,16,27,2,3200,512,1.55,1.0,50,3,1920,1080,6,329.0,227.0,18.0,2,5.0,2,Windows, LED , No ,No,Li-Po,No,Intel,Intel Graphics,Yes,Yes,Yes,no,SSD,Lenovo
4.5,55,13.3,1.3,4,8,17,1,1866,512,1.12,1.0,45,4,1920,1080,4,324.61,229.61,9.9,2,4.1,2,Windows, LED , No ,Yes,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,No,no,HDD,Acer
4.070000000000001,86,14.0,1.6,6,2,16,1,2400,1000,1.7,1.0,52,3,1920,1080,6,323.75199999999995,228.18,19.17,1,4.1,1,Windows, LED , No ,Yes,Li-Ion,Yes,Intel,NVIDIA,Yes,Yes,No,no,HDD,Lenovo
4.5,1977,14.0,2.1,6,8,13,1,2400,1000,1.47,1.0,65,3,1920,1080,4,324.0,225.0,19.9,1,4.2,1,Windows, LED , No ,No,Li-Ion,No,AMD,AMD Graphics,Yes,Yes,Yes,no,HDD,HP
4.0,262,15.0,2.2,4,4,22,1,2266,1000,1.9,1.0,45,3,1920,1080,4,381.0,251.0,27.2,2,4.2,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,No,no,HDD,Asus
4.7,8,17.3,2.3,2,4,32,1,2400,1000,2.7,1.0,64,4,1920,1080,4,399.8,279.4,26.6,1,5.0,1,Windows, LED , No ,No,Li-Ion,No,AMD,NVIDIA,Yes,Yes,No,yes,HDD,Asus
4.6,11,14.0,4.0,12,8,20,2,2666,512,1.46,1.0,65,3,1920,1080,6,324.0,225.0,17.9,1,5.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,no,SSD,HP
4.32,192,16.1,2.6599999999999997,16,4,32,2,3200,512,2.46,1.0,150,4,1920,1080,8,370.0,235.0,26.0,1,5.0,1,Windows, LED , No ,No,Li-Ion,No,AMD,NVIDIA,Yes,Yes,Yes,no,SSD,HP
3.7,16,14.0,2.1,4,8,12,2,2666,256,1.5,1.0,45,3,1920,1080,4,327.1,241.0,19.9,1,5.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,no,SSD,Lenovo
3.84,67,15.6,1.8,8,2,8,1,2666,1000,1.75,1.0,58,2,1920,1080,8,357.0,230.0,20.0,2,5.0,1,Windows, LED , No ,No,Li-Po,Yes,Intel,NVIDIA,Yes,Yes,Yes,no,HDD,Asus
3.8,211,15.6,2.0,4,8,16,1,2133,1000,2.3,1.0,45,2,1366,768,4,381.6,262.8,24.9,2,4.1,1,Windows, LED , No ,No,Li-Ion,No,AMD,AMD Graphics,Yes,Yes,Yes,no,HDD,Acer
4.5,441,15.6,2.1,6,8,12,1,2400,1000,1.68,1.0,45,2,1920,1080,4,357.0,230.0,19.9,2,4.2,1,Windows, LED , No ,No,Li-Ion,Yes,AMD,AMD Graphics,Yes,Yes,Yes,yes,HDD,Asus
4.4,1135,14.0,2.0,12,8,18,1,3200,512,1.4,1.0,45,3,1920,1080,8,324.0,215.0,19.1,2,5.0,1,Windows, LED , No ,No,Li-Ion,Yes,AMD,AMD Graphics,Yes,Yes,Yes,yes,SSD,Asus
4.0,10,14.0,1.3,8,16,30,1,3733,1000,1.35,1.0,60,4,1920,1080,8,320.3,215.6,14.2,1,5.0,2,Windows, LED , Yes ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,no,HDD,Lenovo
4.21,159,14.0,1.6,2,4,24,1,1760,16,1.7,1.0,45,3,1366,768,2,340.0,236.0,17.8,2,4.0,2, Google Chrome , LED , No ,Yes,Li-Po,No,Intel,Intel Graphics,Yes,Yes,No,no,SSD,Acer
4.03,395,15.6,2.31,4,12,29,1,2320,512,2.47,1.0,35,3,1920,1080,4,311.0,231.0,23.1,1,4.0,2,Windows, LED , No ,No,Li-Po,No,AMD,AMD Graphics,Yes,Yes,No,no,SSD,Lenovo
3.79,1,14.0,1.6,6,8,25,1,2666,1000,5.0,1.0,65,3,1920,1080,6,325.0,232.0,18.9,1,5.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,yes,HDD,Lenovo
4.3,69,15.6,3.0,6,4,17,1,2933,256,1.7,1.0,45,3,1920,1080,4,365.0,240.0,18.9,3,5.1,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,no,SSD,Lenovo
4.5,570,14.0,2.1,16,8,18,1,2666,256,1.58,1.0,83,3,1920,1080,4,322.0,223.0,19.7,2,5.0,1,Windows, LED , Yes ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,yes,SSD,HP
4.36,349,14.0,1.6,6,16,25,2,3200,512,1.55,1.0,45,3,1920,1080,6,329.0,227.0,18.0,2,5.0,2,Windows, LED , No ,No,Li-Po,No,Intel,Intel Graphics,Yes,Yes,Yes,no,SSD,Lenovo
4.430000000000001,292,15.6,2.6,12,4,8,1,2826,1000,2.3,1.0,64,4,1920,1080,8,365.0,260.0,24.0,2,4.0,1,Windows, LED , No ,No,Li-Po,No,Intel,NVIDIA,Yes,Yes,Yes,no,HDD,Lenovo
4.8,5,14.0,3.0,12,6,32,1,3200,1000,1.7,1.0,180,4,2560,1440,8,324.0,220.0,19.9,1,5.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,NVIDIA,Yes,Yes,Yes,yes,SSD,Asus
4.6,256,13.0,1.4,6,8,16,1,2133,256,1.4,1.0,58,4,2560,1600,6,304.0,212.4,15.6,2,5.0,2,MAC, LED , No ,No,Li-Po,No,Intel,Intel Graphics,Yes,Yes,Yes,yes,HDD,Apple
4.0,234,15.6,2.1,4,8,12,1,2666,1000,1.7,1.0,45,2,1920,1080,4,362.2,253.4,19.9,1,5.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,yes,HDD,Lenovo
4.0,64,15.6,2.4,8,8,12,1,3200,512,1.65,1.0,65,3,1920,1080,6,359.2,236.5,19.9,1,5.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,yes,SSD,Lenovo
3.5,4,14.0,2.3,3,4,23,1,2133,500,1.79,1.0,41,4,1366,768,4,345.4,241.5,23.9,2,4.0,1,Windows, LED , No ,Yes,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,no,HDD,HP
4.2,26,15.6,2.5,8,8,32,2,2933,1000,2.3,1.0,150,3,1920,1080,6,360.0,275.0,21.0,1,5.1,1,Windows, LED , No ,No,Li-Ion,No,Intel,NVIDIA,Yes,Yes,Yes,yes,HDD,Asus
4.4,56,17.3,2.73,18,8,16,1,3093,1000,2.9,1.0,280,4,1920,1080,8,397.0,284.0,25.9,1,5.2,1,Windows, LED , No ,No,Li-Po,No,Intel,NVIDIA,Yes,Yes,Yes,yes,HDD,MSI
4.7,544,15.6,2.4,8,4,12,1,2666,256,2.24,1.0,150,3,1920,1080,6,360.0,256.0,23.4,1,4.2,1,Windows, LED , No ,No,Li-Ion,No,Intel,NVIDIA,Yes,Yes,Yes,yes,SSD,HP
4.29,371,15.6,2.6,6,4,32,1,1600,1000,2.4,1.0,55,3,1920,1080,4,389.0,257.0,23.0,1,4.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,NVIDIA,Yes,Yes,No,yes,HDD,Acer
4.2,1399,15.6,1.6,6,8,17,1,2400,1000,1.77,1.0,41,3,1920,1080,6,376.0,246.0,22.5,1,4.2,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,No,no,HDD,HP
4.0,9,15.6,2.1,4,8,13,1,2666,512,1.74,1.0,65,3,1920,1080,4,358.5,242.0,19.9,1,5.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,no,SSD,HP
3.7,67,14.0,2.3,2,4,32,2,2106,1000,1.8,1.0,58,4,1366,768,2,340.0,245.0,24.0,1,4.2,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,no,HDD,Acer
3.96,18,15.6,2.67,24,8,16,1,3173,1000,2.1,1.0,230,4,2560,1400,8,358.0,248.0,19.8,2,5.2,1,Windows, LED , No ,No,Li-Ion,No,Intel,NVIDIA,Yes,Yes,Yes,no,SSD,MSI
3.91,560,15.6,1.1,4,4,21,1,2160,1000,1.9,1.0,33,3,1366,768,4,381.0,251.0,27.2,2,4.1,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,No,no,HDD,Asus
3.6,5,14.0,1.3,8,16,29,1,2400,1000,1.2,1.0,65,4,3840,2160,8,319.0,197.0,12.2,1,5.0,2,Windows, LED , No ,No,Li-Po,No,Intel,Intel Graphics,Yes,Yes,Yes,yes,HDD,Lenovo
4.14,131,15.6,3.0,6,8,13,1,3013,512,1.65,1.0,65,3,1920,1080,4,359.2,236.5,19.9,1,5.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,yes,SSD,Lenovo
5.0,2,15.6,2.6,12,8,16,1,2666,1000,2.2,1.0,57,3,1920,1080,8,361.42,267.0,22.4,2,5.0,1,Windows, LED , No ,No,Li-Po,No,Intel,NVIDIA,Yes,Yes,Yes,yes,HDD,Lenovo
3.8,104,15.6,1.2,4,4,19,1,2666,1000,1.77,1.0,41,3,1920,1080,4,358.0,242.0,19.9,1,4.2,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,no,HDD,HP
4.459999999999999,115,15.6,2.6399999999999997,8,4,8,1,3040,512,2.35,1.0,150,3,1920,1080,6,359.0,259.0,24.9,1,5.1,1,Windows, LED , No ,No,Li-Ion,No,AMD,AMD Graphics,Yes,Yes,Yes,no,SSD,MSI
3.8,239,14.0,1.7,6,8,15,2,2666,1000,1.58,1.0,44,3,1920,1080,4,329.0,240.0,20.0,1,4.1,1,Windows, LED , No ,No,Li-Po,No,Intel,Intel Graphics,Yes,Yes,Yes,no,HDD,Dell
4.279999999999999,743,11.6,1.6,2,4,24,1,1600,32,1.27,1.0,45,3,1366,768,4,293.87,203.96,19.3,1,4.1,1, Google Chrome , LED , Yes ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,No,no,HDD,Acer
4.0,421,15.6,2.1,2,4,8,2,1600,500,2.1,1.0,65,4,1366,768,3,384.0,265.0,25.0,2,4.0,2, DOS , LED , No ,Yes,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,No,no,HDD,Lenovo
3.6,50,15.6,2.1,4,8,15,1,2400,1000,1.74,1.0,41,3,1366,768,4,358.0,242.0,19.9,2,4.0,1, DOS , LED , No ,No,Li-Po,No,AMD,AMD Graphics,Yes,Yes,No,no,HDD,HP
4.4,56,17.3,2.73,18,8,16,1,3093,1000,2.9,1.0,280,4,1920,1080,8,397.0,284.0,25.9,1,5.2,1,Windows, LED , No ,No,Li-Po,No,Intel,NVIDIA,Yes,Yes,Yes,yes,HDD,MSI
4.5,916,14.0,1.6,6,8,20,1,2666,512,1.58,1.0,53,3,1920,1080,6,322.0,223.0,19.7,2,5.0,1,Windows, LED , Yes ,No,Li-Ion,Yes,Intel,Intel Graphics,Yes,Yes,Yes,yes,SSD,HP
4.05,2,14.0,1.0,6,2,8,1,2666,512,1.69,1.0,52,3,1920,1080,2,323.6,228.0,17.9,2,5.0,1,Windows, LED , No ,No,Li-Po,No,Intel,NVIDIA,Yes,Yes,Yes,no,SSD,Lenovo
4.31,218,13.3,4.2,8,8,32,2,3733,512,1.2,1.0,64,4,1920,1080,6,296.0,198.0,15.0,2,5.0,2,Windows, LED , Yes ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,yes,SSD,Dell
3.8,1859,15.6,1.2,4,4,12,1,2666,1000,1.85,1.0,65,2,1920,1080,4,362.2,251.5,19.9,1,5.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,yes,HDD,Lenovo
4.4,1433,15.6,2.3,8,4,8,1,2666,1000,2.53,1.0,56,4,1920,1080,6,380.0,258.0,22.7,1,5.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,NVIDIA,Yes,Yes,Yes,yes,HDD,Dell
4.500000000000001,320,12.3,1.9,8,8,22,1,1866,256,0.77,1.0,53,4,2736,1824,6,292.0,201.0,8.5,1,4.1,1,Windows, LED , Yes ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,No,no,HDD,Microsoft
4.1,42,14.0,4.2,8,8,29,1,2986,512,1.05,1.0,65,4,1920,1080,6,318.9,206.98,14.9,1,5.0,1,Windows, LED , No ,No,Li-Ion,Yes,Intel,Intel Graphics,Yes,Yes,Yes,no,SSD,Acer
4.2,146,14.0,1.6700000000000004,6,2,8,1,2213,512,1.5,1.0,70,4,1920,1080,6,323.0,223.0,19.9,1,5.0,1,Windows, LED , No ,No,Li-Po,No,Intel,NVIDIA,Yes,Yes,Yes,yes,SSD,Asus
4.1000000000000005,1654,15.6,2.1,4,8,12,1,2666,1000,1.7,1.0,45,2,1920,1080,4,362.2,253.4,19.9,2,5.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,yes,HDD,Lenovo
4.04,89,14.0,1.2,4,8,12,2,2666,256,1.6,1.0,65,2,1920,1080,4,324.69,223.36000000000004,19.51,1,5.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,no,SSD,Lenovo
4.3100000000000005,256,13.3,1.9,2,4,59,1,2533,64,1.23,1.2,45,4,1920,1080,2,308.2900000000001,207.95,17.87,2,5.0,2, Google Chrome , QLED , Yes ,No,Li-Po,No,Intel,Intel Graphics,Yes,Yes,Yes,no,SSD,Samsung
4.3,153,13.3,2.0,12,16,29,1,3413,512,1.32,1.0,45,4,1920,1080,8,308.1,206.5,18.3,2,5.0,1,Windows, LED , Yes ,No,Li-Ion,Yes,AMD,AMD Graphics,Yes,Yes,Yes,yes,SSD,Lenovo
4.3,2,14.1,2.1,4,4,17,1,2400,1000,1.6,1.0,45,3,1920,1080,4,325.0,216.0,23.1,2,4.1,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,no,HDD,Asus
3.5,3,15.6,2.3,16,8,32,1,3200,1000,1.9,1.0,76,4,1920,1080,8,360.0,252.0,18.9,2,5.1,1,Windows, LED , No ,No,Li-Ion,No,Intel,NVIDIA,Yes,Yes,Yes,yes,HDD,Asus
4.3,295,15.6,2.4,8,8,15,1,3200,1000,1.8,1.0,61,3,1920,1080,6,356.0,233.0,18.0,2,5.0,1,Windows, LED , No ,No,Li-Po,Yes,Intel,Intel Graphics,Yes,Yes,Yes,no,HDD,Lenovo
4.35,208,14.0,2.4,8,8,16,1,3093,512,1.14,1.0,43,3,1920,1080,6,325.0,216.0,17.0,2,5.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,yes,SSD,HP
4.5,4,15.6,1.0,6,2,8,1,2666,1000,1.85,1.0,41,3,1920,1080,2,361.6,245.6,17.9,1,5.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,NVIDIA,Yes,Yes,Yes,no,HDD,HP
4.8,8,15.6,2.5,8,4,8,1,2933,1000,2.3,1.0,60,4,1920,1080,6,363.06,259.61,23.5,2,5.0,2,Windows, LED , No ,No,Li-Po,No,Intel,NVIDIA,Yes,Yes,Yes,no,HDD,Lenovo
4.1,11,15.6,1.6,6,8,12,1,2133,512,1.6,1.0,32,2,1920,1080,6,360.2,234.9,22.9,2,4.2,1,Windows, LED , No ,No,Li-Po,Yes,Intel,NVIDIA,Yes,Yes,Yes,no,HDD,Asus
4.4,18,13.3,2.0,8,16,19,1,3200,512,1.32,1.0,65,3,1920,1080,8,306.5,194.6,16.4,1,5.0,1,Windows, LED , Yes ,No,Li-Ion,Yes,AMD,AMD Graphics,Yes,Yes,Yes,yes,SSD,HP
4.5,17,14.0,1.8,8,16,21,1,2400,512,1.17,1.0,50,3,1920,1080,6,322.58,198.12,15.2,1,5.0,1,Windows, LED , No ,No,Li-Po,Yes,Intel,Intel Graphics,Yes,Yes,Yes,yes,SSD,Asus
