Ratings,No_of_ratings,Operating_system,Screen_size(inches),Display_type,Touchscreen,Processor_speed(GHz),Cache_memory(MBs),RAM(Gig),RAM_max,Memory_slots,RAM_speed(MHz),Harddrive_type,Harddrive_capacity(Gig),Weight(kg),Warranty,Optical_Drive,Adapter(watts),Battery_cells,Battery_type,Battery_life(Hrs),Fingerprint,Screen_pixel_density(width),Screen_pixel_density(height),Processor_brand,Processor_cores,Graphics_brand,Length(mm),Width(mm),Height(mm),USB(2.0),USB(2.0)_ports,Bluetooth_,Bluetooth_version,USB(typeC),USB(typeC)_ports,Keyboard_backlit,Brand
,,Windows,15.6, LED , No ,1.1,4.0,4.0,,1.0,2400.0,nan,256.0,1.7,1.0,No,45.0,,Li-Ion,,No,1366,768,Intel,2.0,Intel Graphics,362.2,253.4,19.9,Yes,1.0,Yes,5.0,nan,,,Lenovo
,,Windows,14.0, LED , No ,1.6,6.0,16.0,,2.0,3200.0,nan,512.0,1.55,1.0,No,50.0,3.0,Li-Po,,No,1920,1080,Intel,6.0,Intel Graphics,329.0,227.0,18.0,nan,,Yes,5.0,Yes,2.0,,Lenovo
,,Windows,13.3, LED , No ,1.3,4.0,8.0,,1.0,1866.0,nan,512.0,1.12,1.0,Yes,45.0,4.0,Li-Ion,9.0,No,1920,1080,Intel,4.0,Intel Graphics,324.61,229.61,9.9,Yes,2.0,Yes,4.1,No,,,Acer
,,Windows,14.0, LED , No ,1.6,6.0,2.0,16.0,1.0,2400.0,HDD,1000.0,1.7,1.0,Yes,52.0,3.0,Li-Ion,,Yes,1920,1080,Intel,6.0,NVIDIA,,,,Yes,1.0,Yes,4.1,No,,,Lenovo
4.5,1977.0,Windows,14.0, LED , No ,2.1,6.0,8.0,,1.0,2400.0,HDD,1000.0,1.47,1.0,No,65.0,3.0,Li-Ion,,No,1920,1080,AMD,4.0,AMD Graphics,324.0,225.0,19.9,nan,,Yes,4.2,Yes,1.0,,HP
4.0,262.0,Windows,15.0, LED , No ,2.2,4.0,4.0,,1.0,,HDD,1000.0,1.9,1.0,No,45.0,3.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,381.0,251.0,27.2,Yes,2.0,Yes,4.2,nan,,,Asus
4.7,8.0,Windows,17.3, LED , No ,2.3,2.0,4.0,32.0,1.0,2400.0,HDD,1000.0,2.7,1.0,No,64.0,4.0,Li-Ion,,No,1920,1080,AMD,4.0,NVIDIA,399.8,279.4,26.6,Yes,1.0,Yes,5.0,No,,yes,Asus
4.6,11.0,Windows,14.0, LED , No ,4.0,12.0,8.0,,2.0,2666.0,nan,512.0,1.46,1.0,No,65.0,3.0,Li-Ion,,No,1920,1080,Intel,,Intel Graphics,324.0,225.0,17.9,Yes,1.0,Yes,5.0,Yes,1.0,,HP
,,Windows,16.1, LED , No ,,16.0,4.0,32.0,2.0,3200.0,nan,512.0,2.46,1.0,nan,150.0,4.0,Li-Ion,,No,1920,1080,AMD,8.0,NVIDIA,370.0,235.0,26.0,Yes,1.0,Yes,5.0,Yes,1.0,,HP
3.7,16.0,Windows,14.0, LED , No ,2.1,4.0,8.0,12.0,2.0,2666.0,nan,256.0,1.5,1.0,No,45.0,,Li-Ion,11.5,No,1920,1080,Intel,4.0,Intel Graphics,327.1,241.0,19.9,Yes,1.0,Yes,5.0,nan,,,Lenovo
,,Windows,15.6, LED , No ,1.8,8.0,2.0,8.0,1.0,2666.0,HDD,1000.0,1.75,1.0,No,,2.0,Li-Po,7.0,Yes,1920,1080,Intel,8.0,NVIDIA,357.0,230.0,20.0,Yes,2.0,Yes,5.0,Yes,1.0,,Asus
3.8,211.0,Windows,15.6, LED , No ,2.0,4.0,8.0,16.0,1.0,2133.0,HDD,1000.0,2.3,1.0,No,45.0,2.0,Li-Ion,4.0,No,1366,768,AMD,4.0,AMD Graphics,381.6,262.8,24.9,Yes,2.0,Yes,4.1,Yes,,,Acer
4.5,441.0,Windows,15.6, LED , No ,2.1,6.0,8.0,,1.0,2400.0,HDD,1000.0,1.68,1.0,No,45.0,2.0,Li-Ion,,Yes,1920,1080,AMD,4.0,AMD Graphics,357.0,230.0,19.9,Yes,2.0,Yes,4.2,Yes,1.0,yes,Asus
4.4,1135.0,Windows,14.0, LED , No ,2.0,12.0,8.0,,1.0,3200.0,nan,512.0,1.4,1.0,No,45.0,3.0,Li-Ion,,nan,1920,1080,AMD,8.0,AMD Graphics,324.0,215.0,19.1,Yes,2.0,Yes,5.0,Yes,1.0,yes,Asus
4.0,10.0,Windows,14.0, LED , Yes ,1.3,8.0,16.0,,1.0,3733.0,nan,1000.0,1.35,1.0,No,60.0,,Li-Ion,,No,1920,1080,Intel,8.0,Intel Graphics,320.3,215.6,14.2,nan,,Yes,5.0,Yes,2.0,,Lenovo
