Rating,No_of_ratings,Name,specs0,specs1,specs2,specs3,specs4,specs5,specs6,specs7,specs8,specs9,specs10,specs11,specs12,specs13,specs14,specs15,specs16,specs17,specs18,specs19,specs20,specs21,specs22,specs23,specs24,specs25,specs26,specs27,specs28,specs29,specs30,specs31,specs32,specs33,specs34,specs35
3.7,21 Ratings,Key Specs & Features of HP 15-ec0101AX (167W1PA) (Ryzen 5 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED ," Diagonal IPS anti-glare micro-edge WLED-backlit, 250 nits, 45 Percentage NTSC Display ", No , AMD Quad-Core Ryzen 5 , 3550H , 2.1GHz , 6 MB , NVIDIA Geforce GTX 1650 , 4 GB , 8GB ,1, DDR4 , 2400MHz , HDD SATA , 1TB , 2.04 Kg , 360 x 257 x 23.5 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 52.5 W AC Adapter W , 3 Cell , Li-Ion ,null, HP Imagepad with Multi-Touch Gesture Support , Gaming Backlit Keyboard , No 
4,"3,674 Ratings",Key Specs & Features of HP 15s-dy3001TU (360L7PA) (Intel Pentium Dual Core 8GB 1TB HDD Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED ," Diagonal IPS, micro-edge, anti-glare, 250 nits, 45% NTSC ", No , Intel Pentium Dual-Core ,7505, 3.0GHz , 4 MB , Intel UHD , 8GB , Up to 16GB ,2, DDR4 , 2666MHz , HDD SATA , 1TB , 1.75 Kg , 358.5 x 242 x 19.9 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 65 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled ," Full-size, jet black keyboard with numeric keypad ", No 
3.8,464 Ratings,Key Specs & Features of HP 15s-du3032TU (309J0PA) (Intel Core i5 (11th Gen) 8GB 1TB HDD Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED ," Diagonal IPS, micro-edge, anti-glare, 250 nits, 45% NTSC Display ", No , Intel Core i5 (11th Gen) , 1135G7 , 4.2GHz , 8 MB , Intel Iris X , 8GB ,null,2, DDR4 , 2666MHz , HDD SATA , 1TB , 1.75 Kg , 358.5 x 242 x 19.9 , Silver , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 65 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with multi-touch gesture support; Precision Touchpad Support ," Full-size, natural silver keyboard with numeric keypad ", No 
3.9,452 Ratings,Key Specs & Features of HP 14q-cs0014TU (7EF94PA) (Intel Core i3 (7th Gen) 4GB 1TB HDD Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1366 x 768 pixels , LED , Diagonal SVA BrightView Micro-Edge WLED-Backlit Display , No , Intel Core i3 (7th Gen) , 7020U , 2.3GHz , 3 MB , Intel HD 620 , 4GB ,null,1, DDR4 , 2133MHz , HDD SATA , 1TB , 1.47 Kg , 335 x 234 x 19.9 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n "," Yes, 4.2 ", No , No , Headphone + Microphone Combo Jack , 41 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , No 
4.1,502 Ratings,Key Specs & Features of HP 15-ec1024AX (183J8PA) (Ryzen 7 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED ," Diagonal IPS anti-glare micro-edge WLED-backlit, 250 nits, 45% NTSC Display ", No , AMD Hexa-Core Ryzen 5 , 4600H , 3.0GHz , 3 MB , NVIDIA Geforce GTX 1650 , 4 GB , 8GB ,1, DDR4 , 3200MHz , HDD SATA , 1TB , 1.98 Kg , 360 x 257 x 23.5 , Shadow Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n/ax "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 150 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Gaming Backlit Keyboard , No 
4.1,252 Ratings,Key Specs & Features of HP 14s-er0004TU (2E4T1PA) (Intel Core i3 (10th Gen) 8GB 1TB HDD Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED ," IPS BrightView, Micro-edge WLED-backlit Display ", No , Intel Core i3 (10th Gen) , 1005G1 , 1.2GHz , 4 MB , Intel UHD , 8GB ,null,1, DDR4 , 2666MHz , HDD SATA , 1TB , 1.53 Kg , 324 x 225 x 19.9 , Platinum Grey , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack ,null, 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , No 
3.9,21 Ratings,Key Specs & Features of Lenovo (82FG010AIN) (Intel Core i5 (11th Gen) 8GB 1TB HDD 2GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , IPS LED Backlit Anti-glare Display , No , Intel Core i5 (11th Gen) , 1135G7 , 2.4GHz , 8 MB , NVIDIA GeForce MX450 , 2 GB , 8GB ,1, DDR4 , 3200MHz , HDD SATA , 1TB , 1.66 Kg , 357 x 233 x 18 , Graphite Grey , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n/ax "," Yes, 5.1 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 57 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled ,null,null
4.3,2 Ratings,Key Specs & Features of Asus X409FA-EK617T (Intel Core i3 (10th Gen) 4GB 1TB HDD Windows 10), Windows 10 Home Basic , 14.1 inch(35.81 cm) , 1920 x 1080 pixels , LED , IPS LED Backlit Anti-glare Display , No , Intel Core i3 (10th Gen) , 10110U , 2.1GHz , 4 MB , Intel UHD , 4GB ,null,1, DDR4 , 2400MHz , HDD SATA , 1TB , 1.6 Kg , 325 x 216 x 23.1 , Slate Grey , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 a/b/g/n/ac "," Yes, 4.1 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 45 W AC Adapter W ,null, Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled ,null, No 
4.5,2 Ratings,Key Specs & Features of HP 15-dk2100TX (48U95PA) (Intel Core i5 (11th Gen) 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , IPS LED Backlit Anti-glare Display , No , Intel Core i5 (11th Gen) , 11300H ,null, 8 MB , NVIDIA GeForce GTX 1650 , 4 GB , 8GB ,1, DDR4 , 3200MHz , HDD SATA , 1TB , 2.23 Kg , 360 x 256 x 23.4 , Shadow Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.2 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 150 W AC Adapter W , 3 Cell , Li-Po ,null, Touchpad with Multi-Touch Gestures Enabled ,null,null
null,1 Ratings,Key Specs & Features of Lenovo E14 (20RAS1MX00) (Intel Core i5 (10th Gen) 8GB 1TB HDD Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED , LED Backlit IPS Display , No , Intel Core i5 (10th Gen) , 10210U , 1.6GHz , 6 MB , Intel UHD , 8GB ,null,1, DDR4 , 2666MHz , HDD SATA , 1TB , 5 Kg , 325 x 232 x 18.9 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n/ax "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 65 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , English Backlit Keyboard , No 
